"","subject_id","ab_target","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",3,"Non-Spike B","FWR1",NA,NA,NA,NA
"2",3,"Non-Spike B","CDR1",-0.0768074838832021,-0.156259528302435,-0.0083446660558329,-0.0219733239580434
"3",3,"Non-Spike B","FWR2",-0.408326259088929,-0.492909807885324,-0.335766030064399,-1.50990331349021e-14
"4",3,"Non-Spike B","CDR2",-0.0419220013024423,-0.115866982835729,0.0213513914977405,-0.117252751967814
"5",3,"Non-Spike B","FWR3",-0.557655055200941,-0.607864781545019,-0.518879827873454,-1.12132525487141e-14
"6",3,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"7",3,"Spike+ Mem B","CDR1",-0.218006457979621,-0.389926938433106,-0.0543488531137107,-0.0061587971115078
"8",3,"Spike+ Mem B","FWR2",-0.479525538045935,-0.678472035351937,-0.288927353444004,-1.17073251426625e-06
"9",3,"Spike+ Mem B","CDR2",-0.246856461897608,-0.402382067157135,-0.0994846998657699,-0.000839822840811077
"10",3,"Spike+ Mem B","FWR3",-0.901848110066589,-0.999829900691027,-0.815220041261916,-9.99200722162641e-15
"11",4,"Non-Spike B","FWR1",NA,NA,NA,NA
"12",4,"Non-Spike B","CDR1",-0.116569696444409,-0.183938590473761,-0.0598237176621986,-0.000116094930611821
"13",4,"Non-Spike B","FWR2",-0.431989266000087,-0.499813202361576,-0.376076093373343,-3.35287353436797e-14
"14",4,"Non-Spike B","CDR2",-0.0308727813747918,-0.089263928689433,0.0142984754871808,-0.131178255525541
"15",4,"Non-Spike B","FWR3",-0.668817459624595,-0.712839750211267,-0.637725531765907,-3.14193115968919e-14
"16",4,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"17",4,"Spike+ Mem B","CDR1",0.204912178270165,-0.154069881310745,0.570901259466736,0.132797933558312
"18",4,"Spike+ Mem B","FWR2",0.0681229567428315,-0.306484957237124,0.443282895689028,0.363906397986619
"19",4,"Spike+ Mem B","CDR2",-0.536876782181939,-0.890452058184383,-0.187698156053182,-0.00165716486969592
"20",4,"Spike+ Mem B","FWR3",-1.12233056712923,-1.29168373749524,-0.964994448182605,-1.83186799063151e-14
"21",5,"Non-Spike B","FWR1",NA,NA,NA,NA
"22",5,"Non-Spike B","CDR1",-0.0782829005514903,-0.141354115558555,-0.0269028620466183,-0.00466240115632344
"23",5,"Non-Spike B","FWR2",-0.48694179617581,-0.552950671375968,-0.434758998206206,-1.93178806284777e-14
"24",5,"Non-Spike B","CDR2",-0.0506855960302744,-0.110431117654059,-0.00496799636035465,-0.0362252212211986
"25",5,"Non-Spike B","FWR3",-0.522910364233394,-0.567619590614525,-0.489582447521338,-6.0063065632221e-14
"26",5,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"27",5,"Spike+ Mem B","CDR1",0.102922354957075,-0.0863513899699575,0.285067435917364,0.138977145118463
"28",5,"Spike+ Mem B","FWR2",-0.591488954652128,-0.800468714499779,-0.392102423279729,-1.72847820500976e-08
"29",5,"Spike+ Mem B","CDR2",-0.0756988239406015,-0.25656923957165,0.0964828048346223,-0.200786653118234
"30",5,"Spike+ Mem B","FWR3",-0.750899306562972,-0.848465879523811,-0.665383744650671,-9.76996261670138e-15
"31",6,"Non-Spike B","FWR1",NA,NA,NA,NA
"32",6,"Non-Spike B","CDR1",-0.179444677136484,-0.276222892545206,-0.0943383672530475,-8.38655299308932e-05
"33",6,"Non-Spike B","FWR2",-0.456107444464734,-0.558105928117151,-0.365302403164115,-6.26165785888588e-14
"34",6,"Non-Spike B","CDR2",-0.0363960053166471,-0.126205516821355,0.0429656511031072,-0.201471968711726
"35",6,"Non-Spike B","FWR3",-0.717599906943499,-0.775649980781551,-0.674789976817739,-9.65894031423886e-15
"36",6,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"37",6,"Spike+ Mem B","CDR1",-0.0315495357157207,-0.302762750542251,0.234985420118178,-0.406206121895385
"38",6,"Spike+ Mem B","FWR2",-0.815988540392111,-1.13091719199117,-0.508694296888824,-3.02030417453913e-07
"39",6,"Spike+ Mem B","CDR2",0.393920375739673,0.0766960998366454,0.710496507707985,0.00645523903406036
"40",6,"Spike+ Mem B","FWR3",-0.937429489495939,-1.12603609697359,-0.759506211465533,-3.5527136788005e-15
"41",7,"Non-Spike B","FWR1",NA,NA,NA,NA
"42",7,"Non-Spike B","CDR1",-0.114860696788803,-0.211597510713632,-0.0279543098299292,-0.0078935026013558
"43",7,"Non-Spike B","FWR2",-0.523522227919671,-0.625446390851411,-0.43402316413759,-8.43769498715119e-15
"44",7,"Non-Spike B","CDR2",0.0140186714416003,-0.0754256072092477,0.0928181245901275,0.374287680786174
"45",7,"Non-Spike B","FWR3",-0.58690903656236,-0.645951924860166,-0.539328883522988,-1.02140518265514e-14
"46",7,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"47",7,"Spike+ Mem B","CDR1",-0.586067524387233,-1.389057488769,0.277727364965106,-0.0862727270581726
"48",7,"Spike+ Mem B","FWR2",0.570026480711835,-0.25119308109097,1.50914461484129,0.0945200974597425
"49",7,"Spike+ Mem B","CDR2",-0.768892204785498,-1.53901150158144,-0.0247053957278204,-0.0222684868889099
"50",7,"Spike+ Mem B","FWR3",-0.84249950141291,-1.45102309641475,-0.246879994531736,-0.00374708607263519
