"","subject_id","ab_target","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",3,"Non-Spike B","FWR1",NA,NA,NA,NA
"2",3,"Non-Spike B","CDR1",-0.0763588876807472,-0.124836539834539,-0.0394406048257312,-0.000212037640216045
"3",3,"Non-Spike B","FWR2",-0.468720027615808,-0.517217503714058,-0.435557936996272,-9.99200722162641e-15
"4",3,"Non-Spike B","CDR2",-0.0699066504521333,-0.114639022897955,-0.0376618763103893,-0.000376755473322166
"5",3,"Non-Spike B","FWR3",-0.526637230138861,-0.558849466964157,-0.508104098190904,-1.4210854715202e-14
"6",3,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"7",3,"Spike+ Mem B","CDR1",-0.0522246901064156,-0.176015958683505,0.0622419297846175,-0.195764710428121
"8",3,"Spike+ Mem B","FWR2",-0.51887252730259,-0.662978119977101,-0.385324266496866,-5.53668222380566e-13
"9",3,"Spike+ Mem B","CDR2",-0.37689716080025,-0.492261619569045,-0.272960037420323,-4.70973260391361e-11
"10",3,"Spike+ Mem B","FWR3",-0.924833472329752,-0.997291298721343,-0.865288315039235,-5.97299987248334e-14
"11",4,"Non-Spike B","FWR1",NA,NA,NA,NA
"12",4,"Non-Spike B","CDR1",-0.0974972259598374,-0.142668495895819,-0.0662789394072306,-1.71268858584206e-06
"13",4,"Non-Spike B","FWR2",-0.418771313152275,-0.46353023945209,-0.387274203830787,-2.26485497023532e-14
"14",4,"Non-Spike B","CDR2",-0.0026497001505279,-0.0442922656384689,0.0237012101357324,-0.443335922034316
"15",4,"Non-Spike B","FWR3",-0.615791745127437,-0.646271619566919,-0.599227145062482,-4.91828799908944e-14
"16",4,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"17",4,"Spike+ Mem B","CDR1",0.287948288848059,0.0713265935488922,0.498445882194494,0.00362948833284478
"18",4,"Spike+ Mem B","FWR2",-0.1927470968002,-0.420242512213618,0.0269329356264987,-0.0469293519560199
"19",4,"Spike+ Mem B","CDR2",-0.267779797968386,-0.474583761919306,-0.0680364438551312,-0.00545286378287568
"20",4,"Spike+ Mem B","FWR3",-0.909448567198041,-1.02591470713467,-0.80485581193791,-2.37587727269783e-14
"21",5,"Non-Spike B","FWR1",NA,NA,NA,NA
"22",5,"Non-Spike B","CDR1",-0.115446822301278,-0.156351977570694,-0.0878980316919679,-6.53541665229795e-11
"23",5,"Non-Spike B","FWR2",-0.471779076711701,-0.516282741377327,-0.43902158516577,-2.53130849614536e-14
"24",5,"Non-Spike B","CDR2",-0.0683409332199779,-0.107803687256267,-0.0397423101803422,-4.17699456286558e-05
"25",5,"Non-Spike B","FWR3",-0.543265267849453,-0.57459834709397,-0.527038883016632,-3.44169137633799e-14
"26",5,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"27",5,"Spike+ Mem B","CDR1",-0.0643599419525306,-0.15114136563975,0.0123754316000132,-0.0640759344683058
"28",5,"Spike+ Mem B","FWR2",-0.488502408446081,-0.584413373247913,-0.404639432604142,-1.4210854715202e-14
"29",5,"Spike+ Mem B","CDR2",-0.0537648435243977,-0.1374787728858,0.0165180328041071,-0.091450085569223
"30",5,"Spike+ Mem B","FWR3",-0.680369321334434,-0.731534256088246,-0.639498345902944,-6.7612582199672e-14
"31",6,"Non-Spike B","FWR1",NA,NA,NA,NA
"32",6,"Non-Spike B","CDR1",-0.153951068209771,-0.207056701212285,-0.115475355253773,-2.76995981707273e-10
"33",6,"Non-Spike B","FWR2",-0.525116708832905,-0.58342152090965,-0.478652744627096,-1.93178806284777e-14
"34",6,"Non-Spike B","CDR2",-0.0561221184990167,-0.106445676015497,-0.0180658582156645,-0.00775398667475868
"35",6,"Non-Spike B","FWR3",-0.609335073730639,-0.646151331388877,-0.587427289965616,-2.35367281220533e-14
"36",6,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"37",6,"Spike+ Mem B","CDR1",0.0555406173464928,-0.151575890624667,0.25570189643005,0.298625772948115
"38",6,"Spike+ Mem B","FWR2",-0.65898569837652,-0.916407317912933,-0.409126983686263,-3.50719782882258e-07
"39",6,"Spike+ Mem B","CDR2",0.182393658548283,-0.0383887291390009,0.39700366887029,0.0493804696650667
"40",6,"Spike+ Mem B","FWR3",-0.66389703198142,-0.804629780545047,-0.533921062916895,-1.21014309684142e-14
"41",7,"Non-Spike B","FWR1",NA,NA,NA,NA
"42",7,"Non-Spike B","CDR1",-0.184769403367733,-0.259112370557088,-0.123997760312067,-1.76887994363106e-07
"43",7,"Non-Spike B","FWR2",-0.498996064290869,-0.574442982163486,-0.43591439211814,-2.79776202205539e-14
"44",7,"Non-Spike B","CDR2",0.0613006963844158,-0.00664979327696459,0.115283659028157,0.0282748892186043
"45",7,"Non-Spike B","FWR3",-0.712734183250469,-0.758347624141571,-0.678433837603295,-2.69784194983913e-14
"46",7,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"47",7,"Spike+ Mem B","CDR1",-0.0441755949399525,-0.410569859927235,0.327248441613372,-0.4017056039291
"48",7,"Spike+ Mem B","FWR2",-0.637369168919755,-1.09259104907565,-0.184902902092004,-0.00343504206563494
"49",7,"Spike+ Mem B","CDR2",-0.218702425756459,-0.603798482881421,0.167634255137746,-0.133380124216063
"50",7,"Spike+ Mem B","FWR3",-0.987283981525358,-1.22338872195747,-0.763029576159257,-1.16573417585641e-14
