"","subject_id","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",3,"FWR1",NA,NA,NA,NA
"2",3,"CDR1",-0.103834563044727,-0.176199908410064,-0.0446827975927486,-0.00142151809630076
"3",3,"FWR2",-0.507197314788798,-0.585350587111931,-0.439779810697591,-1.84297022087776e-14
"4",3,"CDR2",-0.125357553684667,-0.193361388805554,-0.0683029989382486,-5.32224064058173e-05
"5",3,"FWR3",-0.595050830333886,-0.643123845127507,-0.55852273544302,-1.45439216225896e-14
"6",4,"FWR1",NA,NA,NA,NA
"7",4,"CDR1",-0.109606527159543,-0.191758311911382,-0.0378218368659058,-0.00312454601683154
"8",4,"FWR2",-0.396391450862791,-0.480754860707084,-0.324415416153628,-9.2148511043888e-15
"9",4,"CDR2",-0.0100690811382654,-0.0844673542131991,0.0529706562553499,-0.387295728376898
"10",4,"FWR3",-0.569235392605954,-0.619675260870489,-0.529386945103436,-1.21014309684142e-14
"11",5,"FWR1",NA,NA,NA,NA
"12",5,"CDR1",-0.118885813407305,-0.173517399994517,-0.0769949730061926,-1.54191980106244e-06
"13",5,"FWR2",-0.492640974565483,-0.552104407638142,-0.445999338101121,-1.01030295240889e-14
"14",5,"CDR2",-0.0789991970309468,-0.130778437795307,-0.0380963346526173,-0.000666017615335912
"15",5,"FWR3",-0.57323505164937,-0.610045760458459,-0.547977914574584,-1.43218770176645e-14
"16",6,"FWR1",NA,NA,NA,NA
"17",6,"CDR1",-0.0631765608201486,-0.140616438255979,0.00300259858253804,-0.0449726600022133
"18",6,"FWR2",-0.620444459726975,-0.699566185305677,-0.554358280670671,-2.97539770599542e-14
"19",6,"CDR2",-0.0698546067538589,-0.139688255897907,-0.00955849681360957,-0.0193460316809498
"20",6,"FWR3",-0.528704948888823,-0.577217429608045,-0.495152471630519,-2.43138842392909e-14
"21",7,"FWR1",NA,NA,NA,NA
"22",7,"CDR1",-0.301731051921542,-0.426231824685594,-0.187002884829857,-6.75790590820569e-07
"23",7,"FWR2",-0.479431747924161,-0.604019990253328,-0.365481951900006,-1.56541446472147e-14
"24",7,"CDR2",0.142063472655762,0.0311735136595698,0.243420755891033,0.00422023046847652
"25",7,"FWR3",-0.910574612734683,-0.979421609459814,-0.855335152639749,-1.50990331349021e-14
